numberOfAgents,numberOfCallsPerDay,averageHandleTimeSec,estimatedDurationDays,slaTargetSeconds,risksScore,callTypes,dependencies,CSAT,FCR,estimatedBudgetTND
140,2810,62,1680,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4968000.00
6,240,360,90,85,0.20,"Support","CRM;IVR",4.0,0.60,86400.00
8,300,320,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.62,129600.00
10,360,300,150,75,0.17,"Support;Tech","CRM;AI",4.2,0.65,172800.00
12,420,280,180,70,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.67,216000.00
14,480,260,210,68,0.15,"Support","CRM;WFM",4.3,0.68,259200.00
16,540,250,240,66,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.69,302400.00
18,600,240,270,64,0.13,"Support;Sales","CRM;AI;WFM",4.4,0.70,345600.00
20,660,230,300,62,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.71,388800.00
22,720,220,330,60,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.72,432000.00
24,780,210,360,58,0.10,"Support","CRM;AI;WFM",4.6,0.73,475200.00
5,160,420,60,110,0.28,"Sales","None",3.7,0.46,57600.00
7,200,380,80,100,0.25,"Sales;Support","CRM",3.8,0.50,86400.00
9,240,350,100,95,0.23,"Support","CRM;Training",3.9,0.53,115200.00
11,280,330,120,90,0.21,"Support;Tech","CRM;IVR",4.0,0.55,144000.00
13,320,310,140,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,172800.00
15,360,295,160,82,0.19,"Support;Tech","CRM;AI",4.2,0.59,201600.00
17,400,285,180,80,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.2,0.60,230400.00
19,440,275,200,78,0.17,"Support","CRM;AI;WFM",4.3,0.61,259200.00
21,480,265,220,76,0.16,"Support;Tech","CRM;AI;WFM",4.3,0.62,288000.00
23,520,255,240,74,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,316800.00
4,120,480,45,120,0.30,"Sales","None",3.6,0.44,38400.00
6,180,420,75,105,0.26,"Sales;Support","None",3.8,0.49,86400.00
8,240,380,105,95,0.23,"Support","CRM",4.0,0.54,144000.00
10,300,350,135,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,216000.00
12,360,330,165,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,288000.00
14,420,310,195,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,360000.00
16,480,295,225,75,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,432000.00
18,540,285,255,72,0.16,"Support","CRM;AI;WFM",4.4,0.63,504000.00
20,600,275,285,70,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.64,576000.00
22,660,265,315,68,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.65,648000.00
3,90,600,30,140,0.35,"Sales","None",3.5,0.40,28800.00
5,150,520,60,115,0.28,"Sales;Support","None",3.7,0.47,72000.00
7,210,460,90,100,0.24,"Support","CRM",3.9,0.52,126000.00
9,270,420,120,92,0.22,"Support;Tech","CRM;IVR",4.0,0.55,162000.00
11,330,390,150,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,198000.00
13,390,360,180,80,0.19,"Support;Tech","CRM;AI",4.2,0.59,234000.00
15,450,340,210,76,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,270000.00
17,510,320,240,72,0.17,"Support","CRM;AI;WFM",4.3,0.62,306000.00
19,570,305,270,70,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,342000.00
21,630,295,300,68,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,378000.00
6,200,410,80,108,0.25,"Sales","None",3.8,0.48,96000.00
8,260,370,110,98,0.22,"Support;Sales","CRM",4.0,0.53,156000.00
10,320,340,140,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,208000.00
12,380,320,170,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,260000.00
14,440,305,200,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,312000.00
16,500,290,230,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,364000.00
18,560,280,260,74,0.16,"Support","CRM;AI;WFM",4.4,0.62,416000.00
20,620,270,290,72,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,468000.00
22,680,260,320,70,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.64,520000.00
24,740,250,350,68,0.13,"Support;Tech","CRM;AI;WFM",4.5,0.65,572000.00
4,140,500,50,118,0.29,"Sales","None",3.6,0.45,56000.00
6,210,440,85,102,0.24,"Sales;Support","None",3.8,0.50,126000.00
8,280,400,120,94,0.21,"Support","CRM",4.0,0.54,192000.00
10,350,370,155,88,0.19,"Support;Tech","CRM;IVR",4.1,0.57,260000.00
12,420,350,190,82,0.18,"Support;Sales","CRM;WFM",4.2,0.59,328000.00
14,490,330,225,78,0.17,"Support;Tech","CRM;AI",4.3,0.61,396000.00
16,560,315,260,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,464000.00
18,630,300,295,72,0.15,"Support","CRM;AI;WFM",4.4,0.63,532000.00
20,700,290,330,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.64,600000.00
22,770,280,365,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.65,668000.00
5,175,470,65,112,0.27,"Sales","None",3.7,0.46,87500.00
7,245,430,100,100,0.23,"Sales;Support","CRM",3.9,0.51,171500.00
9,315,390,135,92,0.21,"Support","CRM;Training",4.0,0.54,257000.00
11,385,360,170,86,0.19,"Support;Tech","CRM;IVR",4.1,0.56,343000.00
13,455,340,205,80,0.18,"Support;Sales","CRM;WFM",4.2,0.58,429000.00
15,525,320,240,76,0.17,"Support;Tech","CRM;AI",4.3,0.60,515000.00
17,595,305,275,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,601000.00
19,665,295,310,72,0.15,"Support","CRM;AI;WFM",4.4,0.62,687000.00
21,735,285,345,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.63,773000.00
23,805,275,380,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.64,859000.00
6,240,360,90,86,0.20,"Support","CRM;IVR",4.0,0.60,86400.00
8,320,320,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.62,153600.00
10,400,300,150,75,0.17,"Support;Tech","CRM;AI",4.2,0.65,240000.00
12,480,280,180,70,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.67,326400.00
14,560,260,210,68,0.15,"Support","CRM;WFM",4.3,0.68,412800.00
16,640,250,240,66,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.69,499200.00
18,720,240,270,64,0.13,"Support;Sales","CRM;AI;WFM",4.4,0.70,585600.00
20,800,230,300,62,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.71,672000.00
22,880,220,330,60,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.72,758400.00
24,960,210,360,58,0.10,"Support","CRM;AI;WFM",4.6,0.73,844800.00
5,150,500,60,115,0.26,"Sales","None",3.7,0.48,75000.00
7,210,440,100,102,0.23,"Sales;Support","CRM",3.9,0.52,157500.00
9,270,400,140,94,0.21,"Support","CRM;Training",4.0,0.55,240000.00
11,330,370,180,88,0.19,"Support;Tech","CRM;IVR",4.1,0.57,322500.00
13,390,350,220,82,0.18,"Support;Sales","CRM;WFM",4.2,0.59,405000.00
15,450,330,260,78,0.17,"Support;Tech","CRM;AI",4.3,0.61,487500.00
17,510,315,300,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,570000.00
19,570,300,340,72,0.15,"Support","CRM;AI;WFM",4.4,0.63,652500.00
21,630,290,380,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.64,735000.00
23,690,280,420,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.65,817500.00
3,45,720,20,140,0.50,"Sales","None",3.4,0.36,34560.00
4,60,680,25,135,0.46,"Sales;Support","None",3.5,0.38,46080.00
5,80,640,30,130,0.42,"Support","None",3.6,0.40,57600.00
6,100,600,35,125,0.38,"Support;Sales","CRM",3.7,0.43,72000.00
7,120,560,40,120,0.35,"Support;Tech","CRM",3.8,0.45,86400.00
8,140,520,45,115,0.33,"Support;Sales","CRM;IVR",3.9,0.48,100800.00
9,160,480,50,110,0.31,"Support;Tech","CRM;Training",4.0,0.50,115200.00
10,180,440,55,105,0.29,"Support;Sales;Tech","CRM;WFM",4.0,0.52,129600.00
11,200,420,60,100,0.28,"Support;Tech","CRM;AI",4.1,0.54,144000.00
12,220,400,65,98,0.27,"Support;Sales","CRM;AI;WFM",4.1,0.56,158400.00
13,240,380,70,96,0.26,"Support;Tech","CRM;AI;CTI",4.2,0.57,172800.00
14,260,360,75,94,0.25,"Support;Sales;Tech","CRM;AI;WFM",4.2,0.59,187200.00
15,280,340,80,92,0.24,"Support;Tech","CRM;AI;WFM",4.3,0.60,201600.00
16,300,320,85,90,0.23,"Support;Sales","CRM;AI;WFM",4.3,0.62,216000.00
17,320,310,90,88,0.22,"Support;Tech","WFM;CTI",4.3,0.63,230400.00
18,340,300,95,86,0.21,"Support;Sales;Tech","CRM;IVR",4.4,0.64,244800.00
19,360,290,100,84,0.20,"Support;Tech","CRM;Training",4.4,0.65,259200.00
20,380,280,105,82,0.19,"Support;Sales","CRM;AI",4.4,0.66,273600.00
21,400,270,110,80,0.18,"Support;Tech","CRM;AI;WFM",4.5,0.67,288000.00
22,420,260,115,78,0.17,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.68,302400.00
23,440,250,120,76,0.16,"Support;Tech","CRM;AI;WFM",4.5,0.69,316800.00
24,460,240,125,74,0.15,"Support;Sales","CRM;AI;WFM",4.6,0.70,331200.00
25,480,230,130,72,0.14,"Support;Tech","CRM;AI;WFM",4.6,0.71,345600.00
26,500,220,135,70,0.14,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.72,360000.00
27,520,210,140,68,0.13,"Support;Tech","CRM;AI;WFM",4.7,0.73,374400.00
28,540,200,145,66,0.12,"Support;Sales","CRM;AI;WFM",4.7,0.74,388800.00
29,560,195,150,65,0.12,"Support;Tech","CRM;AI;WFM",4.7,0.75,403200.00
30,580,190,155,64,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.76,417600.00
31,600,185,160,63,0.11,"Support;Tech","CRM;AI;WFM",4.8,0.77,432000.00
32,620,180,165,62,0.10,"Support;Sales","CRM;AI;WFM",4.8,0.78,446400.00
33,640,175,170,61,0.10,"Support;Tech","CRM;AI;WFM",4.8,0.79,460800.00
34,660,170,175,60,0.09,"Support;Sales;Tech","CRM;AI;WFM",4.9,0.80,475200.00
35,680,165,180,59,0.09,"Support;Tech","CRM;AI;WFM",4.9,0.81,489600.00
36,700,160,185,58,0.09,"Support;Sales","CRM;AI;WFM",4.9,0.82,504000.00
37,720,155,190,57,0.08,"Support;Tech","CRM;AI;WFM",5.0,0.83,518400.00
38,740,150,195,56,0.08,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.84,532800.00
39,760,148,200,55,0.08,"Support;Tech","CRM;AI;WFM",5.0,0.85,547200.00
40,780,146,205,54,0.07,"Support;Sales","CRM;AI;WFM",5.0,0.86,561600.00
41,800,144,210,53,0.07,"Support;Tech","CRM;AI;WFM",5.0,0.87,576000.00
42,820,142,215,52,0.07,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.88,590400.00
43,840,140,220,51,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.89,604800.00
44,860,138,225,50,0.06,"Support;Sales","CRM;AI;WFM",5.0,0.90,619200.00
45,880,136,230,49,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.91,633600.00
46,900,134,235,48,0.06,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.92,648000.00
47,920,132,240,47,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.93,662400.00
48,940,130,245,46,0.05,"Support;Sales","CRM;AI;WFM",5.0,0.94,676800.00
49,960,128,250,45,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.95,691200.00
50,980,126,255,44,0.05,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.96,705600.00
51,1000,124,260,43,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.97,720000.00
52,1020,122,265,42,0.04,"Support;Sales","CRM;AI;WFM",5.0,0.98,734400.00
53,1040,120,270,41,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.99,748800.00
54,1060,118,275,40,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,763200.00
55,1080,116,280,39,0.04,"Support;Tech","CRM;AI;WFM",5.0,1.00,777600.00
56,1100,114,285,38,0.04,"Support;Sales","CRM;AI;WFM",5.0,1.00,792000.00
57,1120,112,290,37,0.04,"Support;Tech","CRM;AI;WFM",5.0,1.00,806400.00
58,1140,110,295,36,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,820800.00
59,1160,108,300,35,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,835200.00
60,1180,106,305,34,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,849600.00
61,1200,104,310,33,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,864000.00
62,1220,102,315,32,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,878400.00
63,1240,100,320,31,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,892800.00
64,1260,98,325,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,907200.00
65,1280,96,330,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,921600.00
66,1300,94,335,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,936000.00
67,1320,92,340,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,950400.00
68,1340,90,345,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,964800.00
69,1360,88,350,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,979200.00
70,1380,86,355,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,993600.00
71,1400,84,360,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1008000.00
72,1420,82,365,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1022400.00
73,1440,80,370,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1036800.00
74,1460,78,375,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,1051200.00
75,1480,76,380,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1065600.00
76,1500,74,385,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1080000.00
77,1520,72,390,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1094400.00
78,1540,70,395,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,1108800.00
79,1560,68,400,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1123200.00
80,1580,66,405,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1137600.00
81,1600,64,410,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1152000.00
82,1620,62,415,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,1166400.00
83,1640,60,420,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1180800.00
84,1660,58,425,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1195200.00
85,1680,56,430,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1209600.00
86,1700,54,435,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,1224000.00
87,1720,52,440,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1238400.00
88,1740,50,445,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1252800.00
89,1760,48,450,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1267200.00
90,1780,46,455,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,1281600.00
91,1800,44,460,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1296000.00
92,1820,42,465,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1310400.00
93,1840,40,470,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1324800.00
94,1860,38,475,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,1339200.00
95,1880,36,480,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1353600.00
96,1900,34,485,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1368000.00
97,1920,32,490,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1382400.00
98,1940,30,495,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,1396800.00
99,1960,28,500,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,1.00,1411200.00
100,1980,26,505,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,1.00,1425600.00
6,240,360,90,85,0.20,"Support","CRM;IVR",4.0,0.60,86400.00
8,300,320,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.62,129600.00
10,360,300,150,75,0.17,"Support;Tech","CRM;AI",4.2,0.65,172800.00
12,420,280,180,70,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.67,216000.00
14,480,260,210,68,0.15,"Support","CRM;WFM",4.3,0.68,259200.00
16,540,250,240,66,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.69,302400.00
18,600,240,270,64,0.13,"Support;Sales","CRM;AI;WFM",4.4,0.70,345600.00
20,660,230,300,62,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.71,388800.00
22,720,220,330,60,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.72,432000.00
24,780,210,360,58,0.10,"Support","CRM;AI;WFM",4.6,0.73,475200.00
5,160,420,60,110,0.28,"Sales","None",3.7,0.46,57600.00
7,200,380,80,100,0.25,"Sales;Support","CRM",3.8,0.50,86400.00
9,240,350,100,95,0.23,"Support","CRM;Training",3.9,0.53,115200.00
11,280,330,120,90,0.21,"Support;Tech","CRM;IVR",4.0,0.55,144000.00
13,320,310,140,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,172800.00
15,360,295,160,82,0.19,"Support;Tech","CRM;AI",4.2,0.59,201600.00
17,400,285,180,80,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.2,0.60,230400.00
19,440,275,200,78,0.17,"Support","CRM;AI;WFM",4.3,0.61,259200.00
21,480,265,220,76,0.16,"Support;Tech","CRM;AI;WFM",4.3,0.62,288000.00
23,520,255,240,74,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,316800.00
4,120,480,45,120,0.30,"Sales","None",3.6,0.44,38400.00
6,180,420,75,105,0.26,"Sales;Support","None",3.8,0.49,86400.00
8,240,380,105,95,0.23,"Support","CRM",4.0,0.54,144000.00
10,300,350,135,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,216000.00
12,360,330,165,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,288000.00
14,420,310,195,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,360000.00
16,480,295,225,75,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,432000.00
18,540,285,255,72,0.16,"Support","CRM;AI;WFM",4.4,0.63,504000.00
20,600,275,285,70,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.64,576000.00
22,660,265,315,68,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.65,648000.00
3,90,600,30,140,0.35,"Sales","None",3.5,0.40,28800.00
5,150,520,60,115,0.28,"Sales;Support","None",3.7,0.47,72000.00
7,210,460,90,100,0.24,"Support","CRM",3.9,0.52,126000.00
9,270,420,120,92,0.22,"Support;Tech","CRM;IVR",4.0,0.55,162000.00
11,330,390,150,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,198000.00
13,390,360,180,80,0.19,"Support;Tech","CRM;AI",4.2,0.59,234000.00
15,450,340,210,76,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,270000.00
17,510,320,240,72,0.17,"Support","CRM;AI;WFM",4.3,0.62,306000.00
19,570,305,270,70,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,342000.00
21,630,295,300,68,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,378000.00
6,200,410,80,108,0.25,"Sales","None",3.8,0.48,96000.00
8,260,370,110,98,0.22,"Support;Sales","CRM",4.0,0.53,156000.00
10,320,340,140,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,208000.00
12,380,320,170,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,260000.00
14,440,305,200,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,312000.00
16,500,290,230,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,364000.00
18,560,280,260,74,0.16,"Support","CRM;AI;WFM",4.4,0.62,416000.00
20,620,270,290,72,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,468000.00
22,680,260,320,70,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.64,520000.00
24,740,250,350,68,0.13,"Support;Tech","CRM;AI;WFM",4.5,0.65,572000.00
4,140,500,50,118,0.29,"Sales","None",3.6,0.45,56000.00
6,210,440,85,102,0.24,"Sales;Support","None",3.8,0.50,126000.00
8,280,400,120,94,0.21,"Support","CRM",4.0,0.54,192000.00
10,350,370,155,88,0.19,"Support;Tech","CRM;IVR",4.1,0.57,260000.00
12,420,350,190,82,0.18,"Support;Sales","CRM;WFM",4.2,0.59,328000.00
14,490,330,225,78,0.17,"Support;Tech","CRM;AI",4.3,0.61,396000.00
16,560,315,260,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,464000.00
18,630,300,295,72,0.15,"Support","CRM;AI;WFM",4.4,0.63,532000.00
20,700,290,330,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.64,600000.00
22,770,280,365,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.65,668000.00
5,175,470,65,112,0.27,"Sales","None",3.7,0.46,87500.00
7,245,430,100,100,0.23,"Sales;Support","CRM",3.9,0.51,171500.00
9,315,390,135,92,0.21,"Support","CRM;Training",4.0,0.54,257000.00
11,385,360,170,86,0.19,"Support;Tech","CRM;IVR",4.1,0.56,343000.00
13,455,340,205,80,0.18,"Support;Sales","CRM;WFM",4.2,0.58,429000.00
15,525,320,240,76,0.17,"Support;Tech","CRM;AI",4.3,0.60,515000.00
17,595,305,275,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,601000.00
19,665,295,310,72,0.15,"Support","CRM;AI;WFM",4.4,0.62,687000.00
21,735,285,345,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.63,773000.00
23,805,275,380,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.64,859000.00
6,240,360,90,86,0.20,"Support","CRM;IVR",4.0,0.60,86400.00
8,320,320,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.62,153600.00
10,400,300,150,75,0.17,"Support;Tech","CRM;AI",4.2,0.65,240000.00
12,480,280,180,70,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.67,326400.00
14,560,260,210,68,0.15,"Support","CRM;WFM",4.3,0.68,412800.00
16,640,250,240,66,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.69,499200.00
18,720,240,270,64,0.13,"Support;Sales","CRM;AI;WFM",4.4,0.70,585600.00
20,800,230,300,62,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.71,672000.00
22,880,220,330,60,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.72,758400.00
24,960,210,360,58,0.10,"Support","CRM;AI;WFM",4.6,0.73,844800.00
5,150,500,60,115,0.26,"Sales","None",3.7,0.48,75000.00
7,210,440,100,102,0.23,"Sales;Support","CRM",3.9,0.52,157500.00
9,270,400,140,94,0.21,"Support","CRM;Training",4.0,0.55,240000.00
11,330,370,180,88,0.19,"Support;Tech","CRM;IVR",4.1,0.57,322500.00
13,390,350,220,82,0.18,"Support;Sales","CRM;WFM",4.2,0.59,405000.00
15,450,330,260,78,0.17,"Support;Tech","CRM;AI",4.3,0.61,487500.00
17,510,315,300,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,570000.00
19,570,300,340,72,0.15,"Support","CRM;AI;WFM",4.4,0.63,652500.00
21,630,290,380,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.64,735000.00
23,690,280,420,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.65,817500.00
6,230,350,92,86,0.21,"Support;Sales","CRM;IVR",4.1,0.65,138240.00
8,290,320,118,80,0.19,"Support;Tech","CRM;WFM",4.2,0.67,184320.00
10,350,300,145,76,0.18,"Support;Sales","CRM;AI",4.3,0.69,230400.00
12,410,285,172,72,0.17,"Support;Tech","CRM;AI;CTI",4.3,0.70,276480.00
14,470,270,199,70,0.16,"Support;Sales;Tech","CRM;AI;WFM",4.4,0.71,322560.00
16,530,260,226,68,0.15,"Support;Tech","CRM;WFM",4.4,0.72,368640.00
18,590,250,253,66,0.14,"Support;Sales","CRM;Training",4.4,0.73,414720.00
20,650,240,280,64,0.13,"Support;Tech","CRM;AI",4.5,0.74,460800.00
22,710,235,307,62,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.75,506880.00
24,770,230,334,60,0.12,"Support;Tech","CRM;AI;CTI",4.6,0.76,552960.00
5,140,480,48,112,0.28,"Sales","None",3.6,0.44,67200.00
7,200,420,84,100,0.24,"Sales;Support","CRM",3.8,0.50,134400.00
9,260,380,120,92,0.22,"Support","CRM;Training",4.0,0.54,201600.00
11,320,350,156,88,0.20,"Support;Tech","CRM;IVR",4.1,0.56,268800.00
13,380,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,336000.00
15,440,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,403200.00
17,500,300,264,78,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,470400.00
19,560,290,300,76,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,537600.00
21,620,280,336,74,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,604800.00
23,680,270,372,72,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,672000.00
4,110,540,36,125,0.31,"Sales","None",3.5,0.42,52800.00
6,170,480,72,110,0.27,"Sales;Support","None",3.7,0.47,105600.00
8,230,430,108,100,0.24,"Support","CRM",3.9,0.52,158400.00
10,290,390,144,92,0.22,"Support;Tech","CRM;IVR",4.0,0.55,211200.00
12,350,360,180,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,264000.00
14,410,340,216,82,0.19,"Support;Tech","CRM;AI",4.2,0.59,316800.00
16,470,325,252,78,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,369600.00
18,530,310,288,75,0.17,"Support;Tech","CRM;AI;WFM",4.3,0.61,422400.00
20,590,300,324,72,0.16,"Support;Sales","CRM;AI;WFM",4.4,0.62,475200.00
22,650,290,360,70,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,528000.00
3,85,620,28,138,0.36,"Sales","None",3.4,0.39,40800.00
5,145,540,64,118,0.29,"Sales;Support","None",3.7,0.46,116000.00
7,205,480,100,102,0.25,"Support","CRM",3.9,0.51,174000.00
9,265,440,136,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,232000.00
11,325,410,172,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,290000.00
13,385,385,208,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,348000.00
15,445,365,244,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,406000.00
